,iso,covax_total,avat_total,bilateral_total,donation_total,GGHE,Funding_amount,Funding amount utilized,Disbursement amount,Proportion_utilized,vaccine_willingness,funding_as_GGHE_prop,country,xcovax_offer,xcovax_strtemp,xcovax_should_have,name_short,income_group,population,Administration_rate_fully_vaccianted_70,per_population_current_doses_remaining_country,per_population_courses_secured_shipped_per_country,num_courses_remaining_country,num_doses_administered_per_capita,per_courses_req_secured_WHO_70,per_courses_shipped_WHO_70,per_courses_secured_WHO_70,doses_administered_by_population,num_courses_administered_WHO_70,num_courses_secured_WHO_70,num_courses_shipped_WHO_70,per_courses_administered_WHO_70,WHO_70per_global_target_vaccination_coverage_by_mid_status,WHO_40per_global_target_vaccination_coverage_by_mid_status,WHO_20per_global_target_vaccination_coverage_by_mid_status,WHO_10per_global_target_vaccination_coverage_by_mid_status,num_of_courses_required_WHO_70per,num_of_courses_required_administered_WHO_70per,num_of_courses_required_shipped_WHO_70per,num_of_courses_required_secured_WHO_70per,num_of_courses_required_WHO_40per,num_of_courses_required_administered_WHO_40per,num_of_courses_required_shipped_WHO_40per,num_of_courses_required_secured_WHO_40per,num_of_doses_administered_date,num_of_courses_secured,num_of_courses_delivered_date,num_of_doses_delivered_date,num_of_doses_remaining_in_country,per_of_population_fully_vaccinated_per_country,per_of_population_coverage_in_national_target_definition,Administration_rate__fully_vaccinated_4wk_average,National_target_deadline,Progress_national_target,National_target_detail,Progress_target_per_country,COVAX_participation_modality,total_vaccine_doses_received_utilized,who_region,vaccine_courses_secured_population,courses_delivered_date_population,Number_individuals_fully_vaccinated_any_product_from_any_source,day_average_of_individuals_fully_vaccinated,day_average_of_total_COVID_vaccine,days_until_country_coverage_target_achievement,doses_remaining_in_country_population,Vaccination_60_above,Vaccination_for_HCW,t70_scaleup,reported_supply_bottleneck,reported_lack_funding_bottleneck,reported_delivery_bottleneck,reported_health_bottleneck_bottleneck,reported_demand_challenges_bottleneck,reported_strategy_protocols_bottleneck,reported_needs_risk_and_engagement_strategies,reported_needs_health_recruitment_and_training,reported_needs_rapid_or_to_and_gaps_health_absorption_capacities,reported_needs_financial_support_support,reported_needs_procurement_vaccines_vaccines,reported_needs_guidance_developing_policies_or_for_up_vaccination_vaccination,reported_needs_operational_and_for_chain_management,Intent_to_vaccinate1,Name,Mortality,Primary_series_coverage,first_dose_coverage,pop_60,pop_hcw
1,AFG,7432850,0,NA,3700000,95829480.72,187055774.2,7900000,9127004.07,1.155316971,NA,1.951964811,NA,NA,NA,NA,Afghanistan,LIC,38928346,0.013936923,0.073029381,0.51291239,2842913,0.153773268,0.117550974,0.061621642,0.666119997,0.153773268,4637327,19966831,1847098,0.845292613,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,29974826,25337499,23490401,3523570,17128472,12491145,10644047,0,5986139,26451256,6484425,12968850,5685826,0.119124686,0.4,0.000123304,12/31/2022,Off track,0.4,NA,AMC,0.561578243,EMR,0.67948574,0.16657335,4637327,0.000133394,5192.821429,4086,0.146058761,NA,0.184296417,104.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,0.003,11.999,13.667,1704982,997519
2,ALB,331800,0,2550000,360975,427904035.5,6.00E+05,NA,0,NA,0.856,0.001402184,NA,NA,NA,NA,Albania,UMIC,2877800,0.009229614,0,0.335020328,0,0.982477935,0,0.142426619,0.301393651,0.982477935,1232442,667860,315604,0.44382027,Off track,2) Goal met after deadline,1) Goal met by deadline,1) Goal met by deadline,2215906,983464,667860,0,1266232,33790,0,0,2827375,2512168,1548046,3096091,0,0.428258392,NA,0.00015946,,Not captured,NA,"between 10% and 40%, off track for 70%",Self-financing,1,EUR,0.872947217,0.537926889,1232442,0.000623219,1793.5,NA,0,1,0.721503072,14.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.8,Albania,0.035,43.403,46.072,628565,36791
3,DZA,15926400,0,15550000,2.00E+05,7113361023,4232276.5,847780,1759842.222,2.075824178,0.681,0.000594976,NA,NA,NA,NA,Algeria,LMIC,43851044,0.016407066,0.044060803,0.344966952,1932112.2,0.346761505,0.238222496,0.121820375,0.448009027,0.346761505,6481186,15127161,4113302,0.808051898,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,33765304,27284118,23170816,8043655,19294459,12813273,8699971,0,15205854,25721649,10594488,21188976,3864224.4,0.147800039,0.7,0.000108314,12/31/2021,Deadline past,0.7,NA,AMC,0.817630432,AFR,0.58656868,0.241601728,6481186,0.001187392,52068.39286,904,0.088121605,NA,NA,13.82,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,62,Algeria,0,14.78,17.879,4519772,387079
4,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,American Samoa,UMIC,55197,0,NA,NA,NA,1.867221045,NA,NA,NA,1.867221045,40053,NA,NA,0.057620818,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,42502,2449,NA,NA,24287,0,NA,NA,103065,NA,NA,NA,NA,0.725637263,NA,0.000858613,,Not captured,NA,70% target met,,NA,WPR,NA,NA,40053,0.006402392,353.3928571,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,American Samoa,5.435,73.542,80.149,NA,NA
5,AND,28740,0,NA,NA,NA,NA,NA,NA,NA,0.859,NA,NA,NA,NA,NA,Andorra,HIC,77265,0,0,0,0,1.971151233,0,0.102329647,0,1.971151233,53406,0,6088,0.102329647,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,59494,6088,0,0,33997,0,0,0,152301,83765,83765,167530,0,0.691205591,NA,1.80E-05,,Not captured,NA,"40% target met, not on track for 70%",Self-financing,1,EUR,1.08412606,1.08412606,53406,0.000140518,10.85714286,NA,0,1,0.293347033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,Andorra,0,70.118,75.963,18469,3893
6,AGO,21396180,921600,2.20E+07,1320000,1131865947,159271243.6,3845583,4656079.21,1.210760296,0.964,0.140715642,NA,NA,NA,NA,Angola,LMIC,32866272,0.014021044,0.114655015,0.526649448,3768282.9,0.544528628,0,0.308279727,0.441674841,0.544528628,6327907,11177478,7801644,0.749954568,Off track,3) Goal not yet met,3) Goal not yet met,2) Goal met after deadline,25307029,18979122,11177478,0,14461160,8133253,331609,0,17896626,31438555,14129551,28259102,7536565.8,0.192534979,0.6,0.000274754,7/30/2022,Off track,0.6,NA,AMC,0.733304837,AFR,0.956559813,0.429910365,6327907,0.000297039,9762.571429,2156,0.229310029,NA,NA,47.2,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,96.3,Angola,0,19.253,36.694,1257464,251284
7,AIA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla,Other,15002,0.000603253,0,NA,0,1.541527796,NA,0.145256233,NA,1.541527796,9874,NA,1678,0.145256233,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,11552,1678,0,NA,6601,0,0,NA,23126,NA,12720,25441,0,0.658178909,NA,0.000595159,,Not captured,NA,"40% target met, not on track for 70%",,1,AMR,NA,0.847886948,9874,0.000980822,14.71428571,NA,0,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla,0,65.818,70.804,NA,NA
8,ATG,60000,38400,NA,113950,46777779.82,0,NA,0,NA,NA,0,NA,NA,NA,NA,Antigua & Barbuda,HIC,97929,0.002066658,0.455278824,0,44585,1.384727711,0,0.180226775,0,1.384727711,61815,0,13590,0.180226775,Off track,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,75405,13590,0,0,43089,0,0,0,135605,123675,124875,249750,89170,0.63122262,0.27,4.67E-05,,Goal met,0.27,"40% target met, not on track for 70%",Self-financing,0.642962963,AMR,1.262904758,1.275158533,61815,5.91E-05,5.785714286,0,0.910557649,NA,NA,34.98,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Antigua and Barbuda,0,63.122,65.304,14416,4896
9,ARG,5969200,0,98960000,3900000,30725305778,615937959,NA,40423.72,NA,0.96,0.020046601,NA,NA,NA,NA,Argentina,UMIC,45195774,0,0.052300071,0.37333412,2363742.2,2.17905964,0,0,0,2.17905964,34800746,0,0,0,Goal met,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,34800746,0,0,0,19886141,0,0,0,98484287,74212998,57339873,114679746,4727484.4,0.823579457,NA,0.000201989,,Not captured,NA,70% target met,Self-financing,0.95877664,AMR,1.642033999,1.268699879,37222311,0.001403088,63413.64286,NA,0.104600142,0.943095211,1,0,No,No,No,No,No,No,No,No,No,No,No,No,No,94.9,Argentina,0.168,82.358,90.755,7153405,1159948
10,ARM,360000,0,1600000,883200,153815827.8,4500000,NA,1150026.53,NA,0.822,0.029255767,NA,NA,NA,NA,Armenia,UMIC,2963234,0.012253423,0.089647848,0.091238154,265647.55,0.725620049,0.228611249,0.221257927,0.118491118,0.725620049,984868,270360,504842,0.568360294,Off track,3) Goal not yet met,1) Goal met by deadline,2) Goal met after deadline,2281690,1296822,791980,521620,1303823,318955,0,0,2150182,1760070,1489710,2979419,531295.1,0.332362547,NA,0.000434974,,Not captured,NA,NA,Self-financing,0.821678287,EUR,0.593969292,0.502731138,984868,0.000737852,2186.428571,NA,0.179295695,NA,NA,16.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3,Armenia,0.034,33.331,38.179,564771,51461
